question, what kinds of identity checks would you consider?
label,count
just wing it,38
2fa,14
passport,11
digital wallet,9
government id,9
sso,9
orcid,7
orcid trust markers,5
saml,4
validation from institute,4
combinations,3
institutional sso,3
video of author,3
employer verification,2
institutional affiliation,2
institutional email,2
not orcid,2
official id,2
affiliation confirmation,1
allofthem,1
appearance on staff page,1
bibliometric data,1
bibliometric id,1
brid id,1
dna,1
driving license,1
employee id,1
equality,1
eta like,1
formal documentation,1
funding confirmation,1
funding grant approvals,1
gouvernemental id,1
government or national id,1
governmental id,1
id checks,1
institutiol verification,1
institution sign off,1
institution sso,1
institution-confirmed aff,1
institutional level verif,1
institutional profile,1
institutional sign off,1
ip address file metadata,1
just wing up basically,1
lab website,1
links to ethical approval,1
mathscinet,1
multi factor,1
multichannel verification,1
national identity,1
not winging it,1
onfido,1
orcid and trust markers,1
orcid trust marker,1
plugin to orcid,1
private encryption key,1
researcher certification,1
retina scans,1
retinal scan,1
scream into the void,1
staff id,1
staff id badge,1
third party id verify,1
verime,1
vibe coding,1
video with editor,1
video with id matching,1
videocall,1
vouching by institution,1
