question, what is one thing we should all do?
label,count
collaborate,8
hold hands and go together,7
obey anti trust laws,3
cry,2
get on with it,2
agree and implement standard,1
agree on a standard,1
agree to require orcid,1
ask chatgpt,1
be comfortable sharing,1
collab with institutions,1
commit,1
commit to a timeline,1
do not monetise,1
eat lunch,1
educate and sharing info,1
free response is a mistake,1
get a hat like tom,1
get a room,1
have lunch,1
join the dark side,1
jump together,1
orcid should go 1st,1
scream into void,1
set a deadline,1
set a future deadline,1
step away from the ledge,1
stop talking take action,1
take a united approach,1
yep go together,1
❤️,1

